,date,predict_close,vol,close,Greed_Fear_Score,target_date,percent
0,2022-04-28,0.08345,372891223.0,0.09106,-83.57127168899632,2022-04-29,0.0
1,2022-04-29,0.07194,357143230.0,0.08345,-137.9269023367285,2022-04-30,-8.36
2,2022-04-30,0.07345,513835739.0,0.07194,20.989713650264072,2022-05-01,-13.79
3,2022-05-01,0.0699,451374274.0,0.07345,-48.33219877467661,2022-05-02,2.1
4,2022-05-02,0.0678,274100466.0,0.0699,-30.042918454935688,2022-05-03,-4.83
5,2022-05-03,0.09382,226419856.0,0.0678,383.7758112094396,2022-05-04,-3.0
6,2022-05-04,0.07887,1093958079.0,0.09382,-159.34768706032835,2022-05-05,38.38
7,2022-05-05,0.08153,1561508141.0,0.07887,33.72638519082046,2022-05-06,-15.93
8,2022-05-06,0.07647,613122511429.0,0.08153,-62.06304427817992,2022-05-07,3.37
9,2022-05-07,0.0771,585788993.0,0.07647,8.238524911730163,2022-05-08,-6.21
10,2022-05-08,0.06354,444176982.0,0.0771,-175.875486381323,2022-05-09,0.82
11,2022-05-09,0.06876,576420629.0,0.06354,82.15297450424933,2022-05-10,-17.59
12,2022-05-10,0.05278,875518319.0,0.06876,-232.4025596276905,2022-05-11,8.22
13,2022-05-11,0.04537,971336901.0,0.05278,-140.39408866995075,2022-05-12,-23.24
14,2022-05-12,0.05014,642752158.0,0.04537,105.13555212695606,2022-05-13,-14.04
15,2022-05-13,0.05244,446112243.0,0.05014,45.8715596330276,2022-05-14,10.51
16,2022-05-14,0.05487,262955730.0,0.05244,46.33867276887875,2022-05-15,4.59
