,date,predict_close,vol,close,Greed_Fear_Score,target_date,percent
0,2022-04-28,2815.6,18443524633.0,2936.94,-41.31511028485435,2022-04-29,0.0
1,2022-04-29,2730.19,18771041399.0,2815.6,-30.334564568830743,2022-04-30,-4.13
2,2022-04-30,2827.76,13520941867.0,2730.19,35.737439518861386,2022-05-01,-3.03
3,2022-05-01,2857.41,15332730152.0,2827.76,10.485331145500195,2022-05-02,3.57
4,2022-05-02,2783.48,18609741545.0,2857.41,-25.873080866938885,2022-05-03,1.05
5,2022-05-03,2940.64,13026093219.0,2783.48,56.46169543161792,2022-05-04,-2.59
6,2022-05-04,2749.21,18186749944.0,2940.64,-65.09807388867723,2022-05-05,5.65
7,2022-05-05,2694.98,22642925048.0,2749.21,-19.72566664605469,2022-05-06,-6.51
8,2022-05-06,2636.09,21027599270.0,2694.98,-21.851739159474235,2022-05-07,-1.97
9,2022-05-07,2517.46,13369276367.0,2636.09,-45.00225713082637,2022-05-08,-2.19
10,2022-05-08,2245.43,20802269935.0,2517.46,-108.05732762387493,2022-05-09,-4.5
11,2022-05-09,2343.51,36333567678.0,2245.43,43.67982969854344,2022-05-10,-10.81
12,2022-05-10,2072.11,38202099639.0,2343.51,-115.8091921946141,2022-05-11,4.37
13,2022-05-11,1961.7,45743399154.0,2072.11,-53.28385076081872,2022-05-12,-11.58
14,2022-05-12,2014.42,42463486402.0,1961.7,26.87464953866545,2022-05-13,-5.33
15,2022-05-13,2056.27,24816096567.0,2014.42,20.775210730632097,2022-05-14,2.69
16,2022-05-14,2145.71,15457044616.0,2056.27,43.49623347128541,2022-05-15,2.08
