,date,predict_close,vol,close,Greed_Fear_Score,target_date,percent
0,2022-04-28,0.06574,34822644.0,0.07008,-61.92922374429219,2022-04-29,0.0
1,2022-04-29,0.05992,41982603.0,0.06574,-88.53057499239436,2022-04-30,-6.19
2,2022-04-30,0.06374,37630244.0,0.05992,63.75166889185588,2022-05-01,-8.85
3,2022-05-01,0.06241,49493433.0,0.06374,-20.86601819893324,2022-05-02,6.38
4,2022-05-02,0.06093,33565980.0,0.06241,-23.7141483736581,2022-05-03,-2.09
5,2022-05-03,0.06674,27102139.0,0.06093,95.35532578368614,2022-05-04,-2.37
6,2022-05-04,0.06052,38286217.0,0.06674,-93.1974827689541,2022-05-05,9.54
7,2022-05-05,0.05857,52108579.0,0.06052,-32.2207534699273,2022-05-06,-9.32
8,2022-05-06,0.056,46880424.0,0.05857,-43.87911900290244,2022-05-07,-3.22
9,2022-05-07,0.05401,27797299.0,0.056,-35.53571428571426,2022-05-08,-4.39
10,2022-05-08,0.04479,31761690.0,0.05401,-170.70912793927047,2022-05-09,-3.55
11,2022-05-09,0.04629,49925330.0,0.04479,33.489618218352184,2022-05-10,-17.07
12,2022-05-10,0.03322,66521245.0,0.04629,-282.350399654353,2022-05-11,3.35
13,2022-05-11,0.03176,60842075.0,0.03322,-43.94942805538841,2022-05-12,-28.24
14,2022-05-12,0.03548,64139467.0,0.03176,117.12846347607058,2022-05-13,-4.39
15,2022-05-13,0.03916,49578931.0,0.03548,103.7204058624578,2022-05-14,11.71
16,2022-05-14,0.04022,48782844.0,0.03916,27.068437180796693,2022-05-15,10.37
