,date,predict_close,vol,close,Greed_Fear_Score,target_date,percent
0,2022-04-28,94.01,1307131609.0,98.19,-42.57052653019648,2022-04-29,0.0
1,2022-04-29,85.1,1234575023.0,94.01,-94.77715136687598,2022-04-30,-4.26
2,2022-04-30,89.67,1293033765.0,85.1,53.701527614571184,2022-05-01,-9.48
3,2022-05-01,87.58,1426749080.0,89.67,-23.30768372922943,2022-05-02,5.37
4,2022-05-02,85.84,1265220129.0,87.58,-19.86754966887412,2022-05-03,-2.33
5,2022-05-03,92.77,1011988792.0,85.84,80.73159366262806,2022-05-04,-1.99
6,2022-05-04,84.6,1428455342.0,92.77,-88.06726312385472,2022-05-05,8.07
7,2022-05-05,81.76,1805979399.0,84.6,-33.56973995271855,2022-05-06,-8.81
8,2022-05-06,78.98,1585081920.0,81.76,-34.00195694716244,2022-05-07,-3.36
9,2022-05-07,75.22,1139093165.0,78.98,-47.60698911116744,2022-05-08,-3.4
10,2022-05-09,66.77,2773999164.0,63.27,55.31847637110784,2022-05-10,-19.89
11,2022-05-10,50.21,3677013066.0,66.77,-248.0155758574209,2022-05-11,5.53
12,2022-05-11,44.68,4432811558.0,50.21,-110.13742282413864,2022-05-12,-24.8
13,2022-05-12,48.59,4471167155.0,44.68,87.51119068934653,2022-05-13,-11.01
14,2022-05-13,52.42,2854210432.0,48.59,78.82280304589418,2022-05-14,8.75
